TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,EVAPIN,EVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,CRISPER 1,CRISPER 2,AMBLEFT,AMBRIGHT,DRAINPANIN,DRAINPANOUT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,FILLTUBE,IMMOLD,PANTRY1,PANTRY2,PANTRY3,PANTRY4,PANTRY5,FCBASKET1,FCBASKET2,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,Evaporator Inlet,Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Crisper 1,Crisper 2,Ambient Left Mid,Ambient Right Mid,Drain Pan In,Drain Pan out,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Fill Tube,IM Mold,Pantry 1 CTR,Pantry 2 RT Rear,Pantry 3 FT Right,Pantry 4 FT Left,Pantry 5 Rear CTR,FC Basket 1,FC Basket 2,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT
0:00:00,2,0.65,103.5,12.90,8.63,0.00000,60.00,0.85,37.73,89.42,-999.00,-999.00,0,-17.23,-17.08,2.81,-1.84,-1.45,-0.54,5.29,35.85,38.91,38.42,39.88,43.59,89.43,89.41,106.94,99.17,99.27,148.53,105.19,94.43,105.34,92.90,138.17,4.04,41.70,38.75,36.85,38.45,38.96,35.14,-0.16,-0.57,85.0,-999,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:00:47,2,0.65,103.5,12.90,8.60,0.00124,59.99,0.88,37.76,89.46,-999.00,-999.00,0,-15.79,-16.40,2.77,-1.80,-1.37,-0.49,5.31,35.91,38.92,38.46,39.91,43.62,89.47,89.44,107.42,99.37,99.12,149.13,105.58,94.66,105.74,92.91,138.98,3.66,39.17,38.62,36.64,38.30,38.88,34.89,-0.14,-0.54,85.0,1,2,35.51,1.94,-15.61,31.79,88.01,47.48,0,80.00,100.00,2.00,93.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,6.20,6.10,0.10,16.00,0,35.42,32.00,-2.38,-8.86,33.80,32.00
0:01:40,2,0.65,103.5,13.00,8.68,0.00243,60.00,0.90,37.77,89.46,-999.00,-999.00,0,-16.44,-16.49,2.82,-1.79,-1.38,-0.46,5.30,35.90,38.95,38.47,39.90,43.61,89.47,89.44,107.55,99.41,99.08,149.34,105.64,94.60,105.83,92.92,139.22,3.73,38.08,38.65,36.65,38.32,38.88,34.93,-0.11,-0.51,85.0,1,2,35.60,1.94,-15.52,31.89,87.98,47.48,0,80.00,100.00,2.00,93.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,6.20,6.10,0.10,16.00,0,35.42,32.00,-2.38,-8.86,33.80,32.00
0:02:30,2,0.65,103.5,13.00,8.68,0.00364,60.00,0.92,37.78,89.45,-999.00,-999.00,0,-15.76,-16.32,2.88,-1.76,-1.36,-0.42,5.29,35.93,38.95,38.48,39.90,43.58,89.44,89.43,107.69,99.47,99.12,149.55,105.80,94.65,105.97,92.92,139.47,3.82,36.42,38.66,36.70,38.39,38.89,35.03,-0.10,-0.49,85.0,1,2,35.44,1.99,-15.32,32.15,87.98,47.48,0,80.00,100.00,2.00,94.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,6.30,6.20,0.10,16.00,0,35.42,32.00,-2.38,-8.86,33.80,32.00
0:03:20,2,0.65,103.5,13.10,8.79,0.00490,60.01,0.94,37.80,89.45,-999.00,-999.00,0,-15.98,-16.07,2.92,-1.71,-1.35,-0.41,5.30,35.96,38.96,38.49,39.91,43.59,89.48,89.43,107.91,99.55,99.13,149.80,105.98,94.65,106.16,92.94,139.84,3.81,34.91,38.72,36.79,38.44,38.92,35.13,-0.07,-0.47,85.0,1,2,35.12,2.10,-15.14,32.70,87.98,47.48,0,80.00,100.00,2.00,94.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,6.30,6.20,0.10,16.00,0,35.42,32.00,-2.38,-8.86,33.80,32.00
0:04:11,2,0.65,103.5,13.10,8.77,0.00611,60.01,0.96,37.79,89.45,-999.00,-999.00,0,-15.51,-15.78,2.96,-1.71,-1.34,-0.40,5.29,35.96,38.95,38.44,39.92,43.60,89.48,89.41,108.03,99.62,99.11,150.03,106.11,94.72,106.28,92.95,140.15,3.84,33.39,38.73,36.87,38.48,38.94,35.24,-0.05,-0.47,85.1,1,2,34.86,2.12,-15.03,33.21,88.00,47.48,0,80.00,100.00,2.00,94.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,6.30,6.20,0.10,16.00,0,35.42,32.00,-2.38,-8.86,33.80,32.00
0:04:55,2,0.65,103.4,13.30,8.99,0.00732,60.00,0.97,37.79,89.45,-999.00,-999.00,0,-15.57,-15.50,2.99,-1.71,-1.34,-0.39,5.31,35.94,38.96,38.46,39.91,43.60,89.48,89.42,108.23,99.71,99.16,150.25,106.23,94.75,106.41,92.97,140.33,3.99,31.89,38.75,36.94,38.51,38.98,35.30,-0.04,-0.46,85.1,1,2,34.52,2.12,-14.73,33.54,87.98,47.48,0,80.00,100.00,2.00,94.00,2.00,20.00,-999.00,0,0,1.00,1.00,1.00,0,6.30,6.20,0.10,16.00,0,35.42,32.00,-2.38,-8.86,33.80,32.00
0:05:44,2,0.65,103.4,13.30,8.99,0.00861,60.00,0.99,37.77,89.45,-999.00,-999.00,0,-14.27,-14.52,3.04,-1.66,-1.32,-0.40,5.29,35.94,38.93,38.45,39.91,43.59,89.48,89.42,108.55,99.84,99.07,150.70,106.48,94.84,106.66,92.99,140.93,4.06,30.97,38.74,36.82,38.44,38.95,35.10,-0.04,-0.45,85.1,1,2,34.25,2.14,-14.19,32.40,88.00,47.48,0,80.00,100.00,2.00,94.00,36.00,20.00,-999.00,0,0,1.00,1.00,0,0,6.30,6.20,0.10,16.00,0,35.42,32.00,-2.38,-8.86,33.80,32.00
0:06:41,2,0.65,103.5,13.50,9.18,0.00986,60.01,1.02,37.78,89.46,-999.00,-999.00,0,-14.44,-14.79,3.11,-1.62,-1.32,-0.35,5.30,35.95,38.93,38.45,39.91,43.61,89.47,89.44,108.87,100.02,99.09,151.11,106.75,94.89,106.93,93.02,141.50,4.21,29.14,38.70,36.75,38.42,38.91,35.01,-0.01,-0.41,85.1,1,2,33.89,2.19,-13.38,31.93,87.98,47.48,0,80.00,100.00,2.00,97.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,6.50,6.40,0.10,16.00,0,35.42,32.00,-2.38,-8.86,33.80,32.00
