TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,EVAPIN,EVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,CRISPER 1,CRISPER 2,AMBLEFT,AMBRIGHT,DRAINPANIN,DRAINPANOUT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,FILLTUBE,IMMOLD,PANTRY1,PANTRY2,PANTRY3,PANTRY4,PANTRY5,FCBASKET1,FCBASKET2,WTRVESSEL,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,Evaporator Inlet,Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Crisper 1,Crisper 2,Ambient Left Mid,Ambient Right Mid,Drain Pan In,Drain Pan out,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Fill Tube,IM Mold,Pantry 1 CTR,Pantry 2 RT Rear,Pantry 3 FT Right,Pantry 4 FT Left,Pantry 5 Rear CTR,FC Basket 1,FC Basket 2,Water Vessel,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT
0:00:00,4,1.00,115.2,36.180,41.60,0.0000,60.03,1.20,34.71,50.65,-999.00,-999.00,0,52.07,36.28,6.68,-0.34,-0.02,-1.30,0.99,33.88,34.61,35.63,34.66,35.10,50.61,50.68,48.45,49.34,59.22,61.07,52.97,53.31,52.63,66.32,52.33,4.31,-2.81,34.16,34.36,34.58,34.75,33.53,-0.90,-0.87,48.09,68.0,-999,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:00:50,4,1.00,115.0,36.170,41.74,0.0057,60.03,1.33,34.73,50.64,-999.00,-999.00,0,55.27,37.40,6.87,-0.10,0.39,-1.08,1.04,33.91,34.63,35.69,34.67,35.09,50.61,50.67,48.46,49.37,59.27,61.10,52.99,53.33,52.63,66.34,52.34,5.19,-2.52,34.19,34.40,34.62,34.79,33.55,-0.73,-0.70,48.07,67.9,1,2,35.24,2.40,31.77,33.26,59.00,44.60,1.00,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,5.00,0.70,0.70,0,1.90,1.00,32.00,32.00,1.40,-0.40,32.00,32.00
0:01:40,4,1.00,114.8,36.030,41.37,0.0116,60.02,1.57,34.76,50.64,-999.00,-999.00,0,60.19,39.09,7.09,0.15,0.89,-0.79,1.11,33.91,34.66,35.74,34.71,35.10,50.58,50.67,48.45,49.33,59.28,61.08,52.98,53.33,52.61,66.34,52.31,6.62,-2.14,34.20,34.41,34.62,34.80,33.57,-0.44,-0.46,47.98,68.0,1,2,35.36,2.90,33.24,33.30,59.00,44.60,1.00,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,5.00,0.70,0.70,0,1.90,1.00,32.00,32.00,1.40,-0.40,32.00,32.00
0:02:30,4,1.00,114.8,36.030,41.35,0.0173,60.00,1.84,34.80,50.62,-999.00,-999.00,0,65.52,42.33,7.43,0.46,1.41,-0.56,1.21,33.96,34.69,35.83,34.75,35.10,50.61,50.64,48.45,49.33,59.21,61.14,52.97,53.35,52.62,66.41,52.30,8.19,-1.70,34.26,34.44,34.66,34.82,33.62,-0.10,-0.17,47.91,68.1,1,2,35.42,3.69,35.62,33.44,59.00,44.60,1.00,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,5.00,0.80,0.80,0,1.90,1.00,32.00,32.00,1.40,-0.40,32.00,32.00
0:03:20,4,1.00,115.2,36.140,41.62,0.0232,60.02,2.15,34.84,50.60,-999.00,-999.00,0,70.15,50.20,7.76,0.78,2.01,-0.22,1.23,34.01,34.74,35.85,34.79,35.09,50.56,50.61,47.69,49.55,58.73,61.79,52.96,53.32,52.53,66.45,52.47,9.87,-1.25,34.26,34.44,34.68,34.85,33.66,0.25,0.12,47.82,67.9,1,2,35.42,4.54,39.28,33.44,59.00,44.60,1.00,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,5.00,0.90,0.90,0,1.90,1.00,32.00,32.00,1.40,-0.40,32.00,32.00
0:04:10,4,1.00,115.2,36.120,41.60,0.0288,60.01,2.49,34.88,50.58,-999.00,-999.00,0,73.44,55.62,8.17,1.11,2.65,0.11,1.28,34.02,34.77,35.91,34.81,35.10,50.56,50.61,46.60,50.10,57.52,63.16,52.99,53.31,52.46,66.58,53.15,11.59,-0.87,34.27,34.46,34.70,34.87,33.69,0.65,0.44,47.74,67.8,1,2,35.42,5.56,44.57,33.54,59.13,44.60,1.00,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,5.00,1.10,1.10,0,1.90,1.00,32.00,32.00,1.40,-0.40,32.00,32.00
0:04:58,4,1.00,114.9,36.020,41.42,0.0348,60.02,2.86,34.93,50.58,-999.00,-999.00,0,77.04,59.57,8.61,1.52,3.26,0.48,1.34,34.05,34.80,35.99,34.85,35.10,50.56,50.59,48.62,50.78,53.51,64.02,53.00,53.31,51.92,66.69,54.00,13.32,-0.46,34.28,34.49,34.70,34.87,33.70,1.07,0.78,47.64,68.0,1,2,35.50,6.60,49.26,33.62,59.18,44.60,1.00,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,5.00,1.20,1.20,0,1.90,1.00,32.00,32.00,1.40,-0.40,32.00,32.00
0:05:49,4,1.00,115.2,36.120,41.62,0.0405,60.00,3.26,34.96,50.57,-999.00,-999.00,0,81.59,65.90,9.13,1.96,4.00,0.88,1.40,34.05,34.83,36.05,34.90,35.10,50.53,50.57,50.90,52.31,52.89,64.19,52.97,53.35,51.88,66.78,54.63,15.07,-0.02,34.29,34.50,34.70,34.88,33.75,1.51,1.14,47.56,67.9,1,2,35.60,7.63,53.76,33.62,59.18,44.60,1.00,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,5.00,1.30,1.30,0,1.90,1.00,32.00,32.00,1.40,-0.40,32.00,32.00
0:06:38,4,1.00,115.1,36.070,41.52,0.0464,60.02,3.69,35.01,50.55,-999.00,-999.00,0,85.89,76.53,9.70,2.43,4.68,1.33,1.43,34.10,34.88,36.10,34.92,35.10,50.53,50.56,49.32,53.27,53.69,64.66,52.96,53.38,52.23,66.85,55.37,16.92,0.47,34.29,34.51,34.72,34.90,33.78,2.01,1.54,47.48,67.8,1,2,35.60,8.89,59.29,33.80,59.18,44.53,1.00,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,5.00,1.40,1.40,0,1.90,1.00,32.00,32.00,1.40,-0.40,32.00,32.00
