TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,EVAPIN,EVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,CRISPER 1,CRISPER 2,AMBLEFT,AMBRIGHT,DRAINPANIN,DRAINPANOUT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,FILLTUBE,IMMOLD,PANTRY1,PANTRY2,PANTRY3,PANTRY4,PANTRY5,FCBASKET1,FCBASKET2,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,Evaporator Inlet,Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Crisper 1,Crisper 2,Ambient Left Mid,Ambient Right Mid,Drain Pan In,Drain Pan out,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Fill Tube,IM Mold,Pantry 1 CTR,Pantry 2 RT Rear,Pantry 3 FT Right,Pantry 4 FT Left,Pantry 5 Rear CTR,FC Basket 1,FC Basket 2,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT
0:00:00,2,0.66,103.7,13.00,8.85,0.00000,60.02,2.43,36.82,89.15,-999.00,-999.00,0,-17.12,-15.78,6.23,-0.50,-0.98,0.09,7.31,34.34,37.78,38.33,40.76,42.64,89.07,89.22,104.24,107.39,94.47,154.81,103.46,97.57,103.79,136.08,141.49,12.71,22.81,36.88,36.00,36.13,36.86,36.57,-0.04,0.40,85.8,-999,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:00:50,2,0.67,103.6,15.90,11.01,0.00144,60.00,5.24,38.52,89.15,-999.00,-999.00,0,-13.61,-12.54,11.16,2.99,1.66,2.46,7.91,36.56,39.70,39.29,40.76,42.64,89.09,89.22,105.18,108.97,93.68,157.65,104.11,97.73,104.49,136.57,144.34,27.37,25.71,36.92,36.13,36.24,36.91,36.63,1.40,1.23,85.8,1,2,34.61,3.83,-16.93,33.53,85.55,48.92,0,85.00,80.00,2.00,150.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,10.00,10.10,0.10,16.00,0,35.78,32.36,-4.36,-10.66,33.80,32.00
0:01:39,2,0.66,103.6,16.20,11.10,0.00302,60.01,5.05,38.83,89.13,-999.00,-999.00,0,-12.12,-8.94,10.11,2.76,1.82,2.42,7.96,36.95,40.03,39.67,40.77,42.62,89.06,89.21,105.69,109.91,93.17,159.16,104.53,97.79,104.94,137.15,146.54,26.61,24.69,36.96,36.13,36.24,36.92,36.62,1.53,1.42,85.9,1,2,36.70,5.87,-14.03,33.54,85.49,48.92,0,85.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,11.50,0.10,16.00,0,35.78,32.36,-4.36,-10.66,33.80,32.00
0:02:30,2,0.66,103.6,16.60,11.36,0.00456,60.02,5.03,38.99,89.12,-999.00,-999.00,0,-10.57,-3.59,9.84,2.87,2.09,2.50,8.01,37.06,40.08,39.95,40.80,42.62,89.05,89.19,106.32,110.91,92.94,160.71,105.11,97.84,105.55,137.95,148.83,26.63,24.16,36.93,36.03,36.12,36.89,36.58,1.78,1.72,85.8,1,2,37.54,6.71,-9.94,32.95,85.64,48.92,0,85.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,12.00,0.10,16.00,0,35.78,32.36,-4.36,-10.66,33.80,32.00
0:03:20,2,0.66,103.5,17.10,11.76,0.00613,60.00,5.13,39.12,89.12,-999.00,-999.00,0,-9.74,-0.42,9.88,2.98,2.26,2.61,8.07,37.25,40.13,40.08,40.83,42.61,89.05,89.19,106.85,111.62,93.28,161.72,105.57,98.19,106.02,138.54,150.16,25.57,23.83,36.87,35.93,35.97,36.83,36.50,1.98,1.99,85.7,1,2,37.76,7.10,-6.96,32.46,85.64,48.92,0,85.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,12.10,0.10,16.00,0,35.78,32.36,-4.36,-10.66,33.80,32.00
0:04:07,2,0.65,103.5,19.60,13.33,0.00798,59.99,5.26,40.44,89.10,-999.00,-999.00,0,-8.86,1.07,9.99,3.13,2.50,2.81,8.16,39.56,42.04,41.31,40.92,42.64,89.05,89.17,107.51,112.58,93.60,163.05,106.12,98.49,106.60,139.15,151.74,24.53,23.54,36.80,35.83,35.81,36.75,36.42,2.17,2.21,85.7,1,2,39.20,7.16,-5.42,32.02,85.53,48.87,0,85.00,80.00,2.00,150.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,10.00,12.30,0.10,16.00,0,35.78,32.36,-4.36,-10.66,33.80,32.00
0:04:55,2,0.65,103.6,19.20,12.93,0.00977,60.02,5.39,41.26,89.12,-999.00,-999.00,0,-9.38,1.45,10.00,3.26,2.64,2.94,8.20,39.95,42.35,41.68,41.01,42.64,89.03,89.19,108.09,113.81,93.91,164.58,106.65,98.74,107.15,139.90,153.68,22.52,23.75,36.78,35.82,35.80,36.69,36.42,2.37,2.42,85.5,1,2,40.78,7.16,-4.72,32.04,85.50,48.84,0,85.00,80.00,2.00,150.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,10.00,12.30,0.10,16.00,0,35.78,32.36,-4.36,-10.66,33.80,32.00
0:05:44,2,0.65,103.6,19.00,12.82,0.01163,60.03,5.48,41.52,89.10,-999.00,-999.00,0,-10.44,0.30,9.98,3.39,2.78,3.08,8.28,40.23,42.54,42.01,41.10,42.64,89.03,89.18,108.28,113.98,94.51,165.09,106.89,99.00,107.38,140.51,154.02,21.75,23.68,36.81,35.90,35.89,36.75,36.44,2.54,2.61,85.4,1,2,41.00,7.16,-5.18,32.52,85.58,48.80,0,85.00,80.00,2.00,150.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,10.00,12.10,0.10,16.00,0,35.78,32.36,-4.36,-10.66,33.80,32.00
0:06:36,2,0.65,103.6,18.70,12.73,0.01340,60.02,5.55,42.33,89.10,-999.00,-999.00,0,-11.24,-2.05,9.91,3.47,2.88,3.19,8.31,41.23,43.25,42.52,41.22,42.66,89.02,89.17,108.39,114.00,94.99,165.37,107.04,99.29,107.52,141.17,154.09,23.22,23.44,36.88,36.04,36.02,36.86,36.53,2.69,2.81,85.3,1,2,41.22,7.16,-6.28,33.00,85.48,48.74,0,85.00,80.00,2.00,150.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,10.00,12.10,0.10,16.00,0,35.78,32.36,-4.36,-10.66,33.80,32.00
