TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,EVAPIN,EVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,CRISPER 1,CRISPER 2,AMBLEFT,AMBRIGHT,DRAINPANIN,DRAINPANOUT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,FILLTUBE,IMMOLD,PANTRY1,PANTRY2,PANTRY3,PANTRY4,PANTRY5,FCBASKET1,FCBASKET2,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,Evaporator Inlet,Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Crisper 1,Crisper 2,Ambient Left Mid,Ambient Right Mid,Drain Pan In,Drain Pan out,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Fill Tube,IM Mold,Pantry 1 CTR,Pantry 2 RT Rear,Pantry 3 FT Right,Pantry 4 FT Left,Pantry 5 Rear CTR,FC Basket 1,FC Basket 2,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT
0:00:05,2,0.60,103.6,16.30,10.20,0.00000,59.97,-0.93,36.95,89.24,-999.00,-999.00,0,-17.56,-7.05,-0.75,-0.95,-2.00,-0.76,-0.17,34.67,38.42,37.75,38.26,42.22,89.15,89.34,112.32,111.49,93.95,159.58,111.40,92.10,111.22,142.57,145.58,10.46,0.11,34.41,39.41,39.77,40.87,39.02,-999.00,1.08,86.0,-999,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:00:53,2,0.61,103.6,18.90,11.72,0.00142,59.98,-0.55,37.09,89.24,-999.00,-999.00,0,-17.48,-7.32,1.87,1.33,0.05,0.24,1.00,35.77,39.58,38.09,38.26,42.23,89.14,89.33,112.38,111.53,93.98,159.67,111.41,92.12,111.25,142.54,145.71,17.43,14.07,34.43,39.45,39.83,40.95,39.14,-999,1.22,86.0,1,2,33.03,0.73,-11.58,32.00,85.28,49.57,0,80.00,80.00,2.00,129.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,8.70,8.60,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:01:42,2,0.61,103.5,19.80,12.48,0.00321,59.99,1.31,38.87,89.24,-999.00,-999.00,0,-15.03,-4.32,2.55,2.01,0.58,0.85,1.52,37.49,41.11,39.08,38.28,42.24,89.13,89.32,114.12,112.72,93.32,162.23,112.33,92.13,112.25,142.87,148.43,19.56,26.52,34.52,39.85,40.28,42.08,40.17,-999,2.17,85.9,1,2,34.64,2.68,-11.02,32.10,85.28,49.58,0,85.00,80.00,2.00,150.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,10.00,10.30,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:02:29,2,0.61,103.6,19.90,12.44,0.00491,59.99,1.67,39.25,89.21,-999.00,-999.00,0,-13.51,-1.63,2.95,2.31,0.89,1.08,1.78,37.63,40.97,39.23,38.31,42.27,89.11,89.31,115.21,113.79,92.80,163.83,113.42,92.20,113.35,143.46,151.01,14.86,8.57,34.56,40.11,40.53,42.39,40.36,-999,2.39,85.7,1,2,36.93,3.61,-8.95,32.49,85.28,49.57,0,85.00,80.00,2.00,150.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,10.00,11.00,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:03:24,2,0.61,103.5,19.90,12.48,0.00668,59.98,1.94,39.31,89.21,-999.00,-999.00,0,-13.36,-1.08,3.27,2.57,1.14,1.31,1.99,37.76,41.00,39.31,38.35,42.29,89.11,89.27,115.44,114.19,92.92,164.29,113.88,92.28,113.83,143.96,151.49,14.28,6.38,34.65,40.29,40.69,42.49,40.49,-999,2.62,85.6,1,2,37.68,4.15,-7.44,32.79,85.28,49.61,0,85.00,80.00,2.00,150.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,10.00,11.30,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:04:08,2,0.61,103.5,19.70,12.54,0.00838,59.97,2.17,40.04,89.19,-999.00,-999.00,0,-13.29,-0.80,3.51,2.78,1.34,1.51,2.18,39.98,43.03,40.45,38.40,42.34,89.12,89.32,115.60,114.39,93.15,164.63,114.10,92.39,114.03,144.31,151.73,13.80,5.83,34.75,40.58,40.98,42.99,40.92,-999,2.84,85.5,1,2,37.78,4.35,-6.63,33.17,85.26,49.28,0,85.00,80.00,2.00,150.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,10.00,11.50,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:05:04,2,0.61,103.5,20.00,12.65,0.01009,59.97,2.36,41.50,89.18,-999.00,-999.00,0,-12.72,-0.17,3.68,2.94,1.53,1.70,2.36,40.61,43.38,40.89,38.49,42.37,89.09,89.28,115.84,114.59,93.29,165.20,114.30,92.42,114.24,144.67,152.24,13.47,5.54,34.86,41.08,41.53,43.99,41.61,-999,3.03,85.4,1,2,39.85,4.66,-6.06,33.44,85.10,49.28,0,85.00,80.00,2.00,150.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,10.00,11.70,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:05:50,2,0.61,103.5,20.30,12.78,0.01190,59.98,2.53,41.71,89.18,-999.00,-999.00,0,-12.56,0.81,3.86,3.09,1.71,1.86,2.50,40.85,43.44,41.08,38.59,42.42,89.09,89.27,116.23,114.97,93.36,165.73,114.70,92.47,114.63,144.97,152.88,13.33,5.56,34.86,41.42,41.87,44.19,41.90,-999,3.21,85.2,1,2,41.41,4.87,-5.22,33.46,85.12,49.28,0,85.00,80.00,2.00,150.00,2.00,20.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,11.90,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:06:44,2,0.61,103.5,20.30,12.72,0.01361,59.97,2.69,41.91,89.18,-999.00,-999.00,0,-12.11,1.98,4.04,3.25,1.86,2.04,2.63,41.42,43.86,41.30,38.67,42.48,89.11,89.25,116.58,115.34,93.40,166.24,115.06,92.51,115.01,145.28,153.54,13.23,5.59,34.75,41.69,42.14,44.38,42.17,-999,3.39,85.1,1,2,41.85,5.00,-4.11,32.59,85.24,49.28,0,85.00,80.00,2.00,150.00,2.00,20.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,12.00,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
